KODE NAMA PT,Terakhir,%Perubahan,Perrubahan,Penialain,Volume,Cap Pasar,P/E,EPS(TTM),Pegawai,Jenis Industri
" SMMT GOLDEN EAGLE ENERGY TBK. ",87.00,-2.25%,-2.00,Penjualan,116.700K,289.800B,4.54,20.26,75.00,Batubara
" SURE SUPER ENERGY TBK. ",2850.00,-0.35%,-10.00,Penjualan,200,4283.080B,—,—,—,Penyulingan / Pemasaran Minyak
" ADMF ADIRA DINAMIKA MULTI FINANCE TBK. ",8000.00,0.00%,0.00,Penjualan,2.408M,7200.000B,3.58,2108.69,17672.00,Pembiayaan/Penyewaan/Lising
" AGRO BANK RAKYAT INDONESIA AGRONIAGA TBK. ",105.00,0.00%,0.00,Penjualan,9.103M,2048.960B,41.02,2.39,811.00,Bank Regional
" AGRS BANK IBK INDONESIA TBK. ",136.00,-6.21%,-9.00,Penjualan,85.300K,957.207B,—,-14.31,347.00,Bank Regional
" AHAP ASURANSI HARTA AMAN PRATAMA TBK. ",50.00,-1.96%,-1.00,Penjualan,107.200K,147.112B,—,-12.10,121.00,Broker/Layanan Asuransi
" AKSI MAMING ENAM SEMBILAN MINERAL TBK. ",236.00,-1.67%,-4.00,Penjualan,221.800K,182.880B,4.39,56.44,5.00,Bank/Broker Investasi
" AMAG ASURANSI MULTI ARTHA GUNA TBK. ",274.00,-7.43%,-22.00,Penjualan Kuat,40.200K,1480.460B,20.26,14.61,—,Broker/Layanan Asuransi
" AMAN MAKMUR BERKAH AMANDA TBK. ",212.00,-3.64%,-8.00,Penjualan,349.000K,—,—,—,—,Pengembangan Real Estate
" AMAR BANK AMAR INDONESIA TBK. ",188.00,-5.05%,-10.00,Penjualan,41.500K,—,—,—,—,Bank Regional
" APIC PACIFIC STRATEGIC FINANCIAL TBK. ",750.00,2.74%,20.00,Pembelian Kuat,5.102M,8471.740B,93.29,7.72,189.00,Bank/Broker Investasi
" ARTO BANK ARTOS INDONESIA TBK. ",1045.00,-6.70%,-75.00,Pembelian,122.900K,9933.510B,—,-15.21,140.00,Bank Utama
